store_item,sales
1_1,13
2_1,12
3_1,19
4_1,10
5_1,11
6_1,20
7_1,7
8_1,16
9_1,11
10_1,14
1_2,33
2_2,41
3_2,43
4_2,30
5_2,26
6_2,27
7_2,21
8_2,39
9_2,31
10_2,36
1_3,15
2_3,19
3_3,26
4_3,17
5_3,14
6_3,13
7_3,9
8_3,21
9_3,20
10_3,18
1_4,10
2_4,21
3_4,9
4_4,13
5_4,4
6_4,7
7_4,6
8_4,13
9_4,10
10_4,9
1_5,11
2_5,4
3_5,13
4_5,10
5_5,9
6_5,4
7_5,5
8_5,10
9_5,9
10_5,8
1_6,31
2_6,34
3_6,34
4_6,24
5_6,20
6_6,27
7_6,21
8_6,36
9_6,29
10_6,32
1_7,25
2_7,39
3_7,40
4_7,26
5_7,21
6_7,14
7_7,21
8_7,30
9_7,30
10_7,32
1_8,33
2_8,49
3_8,54
4_8,34
5_8,30
6_8,43
7_8,29
8_8,50
9_8,45
10_8,49
1_9,18
2_9,28
3_9,28
4_9,19
5_9,21
6_9,25
7_9,27
8_9,29
9_9,27
10_9,23
1_10,37
2_10,51
3_10,38
4_10,30
5_10,31
6_10,29
7_10,25
8_10,47
9_10,45
10_10,45
1_11,37
2_11,51
3_11,37
4_11,47
5_11,26
6_11,26
7_11,26
8_11,35
9_11,35
10_11,49
1_12,33
2_12,55
3_12,38
4_12,36
5_12,22
6_12,29
7_12,26
8_12,54
9_12,35
10_12,41
1_13,37
2_13,51
3_13,49
4_13,46
5_13,33
6_13,37
7_13,42
8_13,56
9_13,47
10_13,46
1_14,22
2_14,33
3_14,37
4_14,43
5_14,22
6_14,28
7_14,25
8_14,44
9_14,26
10_14,30
1_15,42
2_15,65
3_15,61
4_15,46
5_15,31
6_15,38
7_15,27
8_15,44
9_15,48
10_15,51
1_16,14
2_16,15
3_16,15
4_16,13
5_16,10
6_16,13
7_16,11
8_16,14
9_16,19
10_16,20
1_17,13
2_17,24
3_17,26
4_17,20
5_17,9
6_17,18
7_17,10
8_17,13
9_17,18
10_17,20
1_18,38
2_18,51
3_18,45
4_18,49
5_18,34
6_18,32
7_18,28
8_18,52
9_18,41
10_18,45
1_19,15
2_19,32
3_19,34
4_19,14
5_19,20
6_19,22
7_19,6
8_19,20
9_19,24
10_19,21
1_20,22
2_20,35
3_20,29
4_20,36
5_20,20
6_20,20
7_20,17
8_20,27
9_20,28
10_20,31
1_21,22
2_21,30
3_21,25
4_21,23
5_21,15
6_21,15
7_21,13
8_21,21
9_21,25
10_21,33
1_22,59
2_22,64
3_22,50
4_22,44
5_22,36
6_22,32
7_22,33
8_22,60
9_22,47
10_22,34
1_23,14
2_23,17
3_23,12
4_23,13
5_23,11
6_23,17
7_23,7
8_23,13
9_23,20
10_23,22
1_24,41
2_24,45
3_24,36
4_24,35
5_24,26
6_24,33
7_24,21
8_24,43
9_24,34
10_24,35
1_25,59
2_25,42
3_25,62
4_25,56
5_25,37
6_25,27
7_25,24
8_25,47
9_25,45
10_25,48
1_26,16
2_26,35
3_26,19
4_26,22
5_26,19
6_26,11
7_26,18
8_26,34
9_26,15
10_26,22
1_27,14
2_27,17
3_27,11
4_27,17
5_27,5
6_27,2
7_27,9
8_27,19
9_27,8
10_27,9
1_28,49
2_28,45
3_28,42
4_28,46
5_28,41
6_28,44
7_28,24
8_28,61
9_28,50
10_28,54
1_29,34
2_29,50
3_29,46
4_29,35
5_29,24
6_29,24
7_29,27
8_29,42
9_29,34
10_29,35
1_30,17
2_30,32
3_30,19
4_30,29
5_30,16
6_30,25
7_30,15
8_30,25
9_30,20
10_30,21
1_31,30
2_31,38
3_31,42
4_31,35
5_31,24
6_31,23
7_31,23
8_31,43
9_31,37
10_31,42
1_32,22
2_32,26
3_32,31
4_32,24
